Date,Symbol,Shares,PriceOnDate,Sector
2015-01-01,AAPL,232,27.594999313354492,Technology
2015-01-01,ABBV,191,65.44000244140625,Healthcare
2015-01-01,BAC,162,17.889999389648438,Financial Services
2015-01-01,COST,61,141.75,Consumer Defensive
2015-01-01,EURUSD=X,53,1.2098628282546997,Other
2015-01-01,META,97,78.0199966430664,Communication Services
2015-01-01,GBPUSD=X,89,1.558093547821045,Other
2015-01-01,GOOGL,54,26.533000946044922,Communication Services
2015-01-01,GS,148,193.8300018310547,Financial Services
2015-01-01,INTC,221,36.290000915527344,Technology
2015-01-01,JNJ,144,104.56999969482422,Healthcare
2015-01-01,JPM,223,62.58000183105469,Financial Services
2015-01-01,JPYUSD=X,118,0.008356103673577309,Other
2015-01-01,KO,154,42.220001220703125,Consumer Defensive
2015-01-01,MS,143,38.79999923706055,Financial Services
2015-01-01,MSFT,134,46.45000076293945,Technology
2015-01-01,NVDA,63,0.5012500286102295,Technology
2015-01-01,PFE,134,29.554079055786133,Healthcare
2015-01-01,PG,137,91.08999633789062,Consumer Defensive
2015-01-01,QQQ,195,103.25,Other
2015-01-01,SPY,209,205.5399932861328,Other
2015-01-01,UNH,177,101.08999633789062,Healthcare
2015-01-01,VUG,199,104.38999938964844,Other
2015-01-01,WMT,57,28.626667022705078,Consumer Defensive
2015-01-01,XLF,77,20.089357376098633,Other
2015-01-01,XLV,96,68.37999725341797,Other
2015-02-01,AAPL,232,29.290000915527344,Technology
2015-02-01,ABBV,191,60.349998474121094,Healthcare
2015-02-01,BAC,162,15.149999618530273,Financial Services
2015-02-01,COST,61,142.99000549316406,Consumer Defensive
2015-02-01,EURUSD=X,53,1.13355553150177,Other
2015-02-01,META,97,75.91000366210938,Communication Services
2015-02-01,GBPUSD=X,86,1.5079090595245361,Other
2015-02-01,GOOGL,54,26.877500534057617,Communication Services
2015-02-01,GS,148,172.41000366210938,Financial Services
2015-02-01,INTC,221,33.040000915527344,Technology
2015-02-01,JNJ,144,100.13999938964844,Healthcare
2015-02-01,JPM,223,54.380001068115234,Financial Services
2015-02-01,JPYUSD=X,118,0.008456802926957607,Other
2015-02-01,KO,154,41.16999816894531,Consumer Defensive
2015-02-01,MS,143,33.810001373291016,Financial Services
2015-02-01,MSFT,134,40.400001525878906,Technology
2015-02-01,NVDA,179,0.47999998927116394,Technology
2015-02-01,PFE,134,29.648956298828125,Healthcare
2015-02-01,PG,137,84.29000091552734,Consumer Defensive
2015-02-01,QQQ,195,101.0999984741211,Other
2015-02-01,SPY,209,199.4499969482422,Other
2015-02-01,UNH,177,106.25,Healthcare
2015-02-01,VUG,199,102.80000305175781,Other
2015-02-01,WMT,57,28.32666778564453,Consumer Defensive
2015-02-01,XLF,77,18.692119598388672,Other
2015-02-01,XLV,96,69.2699966430664,Other
2015-03-01,AAPL,232,32.1150016784668,Technology
2015-03-01,ABBV,191,60.5,Healthcare
2015-03-01,BAC,162,15.8100004196167,Financial Services
2015-03-01,COST,61,146.9600067138672,Consumer Defensive
2015-03-01,EURUSD=X,53,1.1205360889434814,Other
2015-03-01,META,97,78.97000122070312,Communication Services
2015-03-01,GBPUSD=X,86,1.5418059825897217,Other
2015-03-01,GOOGL,54,28.131500244140625,Communication Services
2015-03-01,GS,148,189.7899932861328,Financial Services
2015-03-01,INTC,221,33.25,Technology
2015-03-01,JNJ,144,102.51000213623047,Healthcare
2015-03-01,JPM,223,61.279998779296875,Financial Services
2015-03-01,JPYUSD=X,204,0.00837682280689478,Other
2015-03-01,KO,154,43.29999923706055,Consumer Defensive
2015-03-01,MS,143,35.790000915527344,Financial Services
2015-03-01,MSFT,134,43.849998474121094,Technology
2015-03-01,NVDA,179,0.5515000224113464,Technology
2015-03-01,PFE,134,32.561668395996094,Healthcare
2015-03-01,PG,137,85.12999725341797,Consumer Defensive
2015-03-01,QQQ,195,108.4000015258789,Other
2015-03-01,SPY,209,210.66000366210938,Other
2015-03-01,UNH,177,113.62999725341797,Healthcare
2015-03-01,VUG,199,109.22000122070312,Other
2015-03-01,WMT,57,27.976667404174805,Consumer Defensive
2015-03-01,XLF,77,19.78066635131836,Other
2015-03-01,XLV,96,72.23999786376953,Other
2015-04-01,AAPL,232,31.0625,Technology
2015-04-01,ABBV,191,57.099998474121094,Healthcare
2015-04-01,BAC,162,15.40999984741211,Financial Services
2015-04-01,COST,61,150.24000549316406,Consumer Defensive
2015-04-01,EURUSD=X,53,1.073814034461975,Other
2015-04-01,META,97,81.66999816894531,Communication Services
2015-04-01,GBPUSD=X,86,1.482953429222107,Other
2015-04-01,GOOGL,54,27.47450065612793,Communication Services
2015-04-01,GS,148,192.22999572753906,Financial Services
2015-04-01,INTC,221,30.809999465942383,Technology
2015-04-01,JNJ,144,99.1500015258789,Healthcare
2015-04-01,JPM,223,59.95000076293945,Financial Services
2015-04-01,JPYUSD=X,204,0.00833180546760559,Other
2015-04-01,KO,154,40.68000030517578,Consumer Defensive
2015-04-01,MS,143,35.970001220703125,Financial Services
2015-04-01,MSFT,134,40.720001220703125,Technology
2015-04-01,NVDA,179,0.5252500176429749,Technology
2015-04-01,PFE,134,32.5711555480957,Healthcare
2015-04-01,PG,137,82.31999969482422,Consumer Defensive
2015-04-01,QQQ,195,105.05000305175781,Other
2015-04-01,SPY,209,205.6999969482422,Other
2015-04-01,UNH,177,117.44999694824219,Healthcare
2015-04-01,VUG,199,107.1500015258789,Other
2015-04-01,WMT,57,26.90333366394043,Consumer Defensive
2015-04-01,XLF,77,19.569456100463867,Other
2015-04-01,XLV,96,71.7699966430664,Other
2015-05-01,AAPL,232,32.23749923706055,Technology
2015-05-01,ABBV,191,64.31999969482422,Healthcare
2015-05-01,BAC,162,16.110000610351562,Financial Services
2015-05-01,COST,61,145.38999938964844,Consumer Defensive
2015-05-01,EURUSD=X,196,1.1214659214019775,Other
2015-05-01,META,97,78.98999786376953,Communication Services
2015-05-01,GBPUSD=X,86,1.5354615449905396,Other
2015-05-01,GOOGL,54,27.558000564575195,Communication Services
2015-05-01,GS,148,197.52999877929688,Financial Services
2015-05-01,INTC,221,33.41999816894531,Technology
2015-05-01,JNJ,144,100.12999725341797,Healthcare
2015-05-01,JPM,223,63.61000061035156,Financial Services
2015-05-01,JPYUSD=X,204,0.008371563628315926,Other
2015-05-01,KO,154,40.90999984741211,Consumer Defensive
2015-05-01,MS,143,37.5099983215332,Financial Services
2015-05-01,MSFT,203,48.65999984741211,Technology
2015-05-01,NVDA,179,0.5687500238418579,Technology
2015-05-01,PFE,134,32.33396530151367,Healthcare
2015-05-01,PG,137,80.29000091552734,Consumer Defensive
2015-05-01,QQQ,195,109.05000305175781,Other
2015-05-01,SPY,209,210.72000122070312,Other
2015-05-01,UNH,177,113.19999694824219,Healthcare
2015-05-01,VUG,199,108.86000061035156,Other
2015-05-01,WMT,57,26.200000762939453,Consumer Defensive
2015-05-01,XLF,77,19.77254295349121,Other
2015-05-01,XLV,96,72.68000030517578,Other
2015-06-01,AAPL,232,32.6349983215332,Technology
2015-06-01,ABBV,191,66.93000030517578,Healthcare
2015-06-01,BAC,162,16.549999237060547,Financial Services
2015-06-01,COST,61,142.38999938964844,Consumer Defensive
2015-06-01,EURUSD=X,196,1.0957943201065063,Other
2015-06-01,META,97,80.29000091552734,Communication Services
2015-06-01,GBPUSD=X,86,1.5288883447647095,Other
2015-06-01,GOOGL,54,27.460500717163086,Communication Services
2015-06-01,GS,148,207.80999755859375,Financial Services
2015-06-01,INTC,221,33.90999984741211,Technology
2015-06-01,JNJ,144,100.04000091552734,Healthcare
2015-06-01,JPM,223,66.08000183105469,Financial Services
2015-06-01,JPYUSD=X,204,0.008051984012126923,Other
2015-06-01,KO,154,40.939998626708984,Consumer Defensive
2015-06-01,MS,143,38.58000183105469,Financial Services
2015-06-01,MSFT,203,47.22999954223633,Technology
2015-06-01,NVDA,179,0.559499979019165,Technology
2015-06-01,PFE,134,32.78937530517578,Healthcare
2015-06-01,PG,137,78.8499984741211,Consumer Defensive
2015-06-01,QQQ,195,110.41999816894531,Other
2015-06-01,SPY,209,211.57000732421875,Other
2015-06-01,UNH,129,119.86000061035156,Healthcare
2015-06-01,VUG,199,109.5199966430664,Other
2015-06-01,WMT,57,24.90999984741211,Consumer Defensive
2015-06-01,XLF,77,20.0,Other
2015-06-01,XLV,96,75.23999786376953,Other
2015-07-01,AAPL,232,31.649999618530273,Technology
2015-07-01,ABBV,191,68.51000213623047,Healthcare
2015-07-01,BAC,131,17.219999313354492,Financial Services
2015-07-01,COST,61,136.49000549316406,Consumer Defensive
2015-07-01,EURUSD=X,196,1.1134989261627197,Other
2015-07-01,META,97,86.91000366210938,Communication Services
2015-07-01,GBPUSD=X,86,1.5687012672424316,Other
2015-07-01,GOOGL,54,27.165000915527344,Communication Services
2015-07-01,GS,148,209.94000244140625,Financial Services
2015-07-01,INTC,221,30.18000030517578,Technology
2015-07-01,JNJ,144,98.47000122070312,Healthcare
2015-07-01,JPM,223,68.06999969482422,Financial Services
2015-07-01,JPYUSD=X,204,0.008170869201421738,Other
2015-07-01,KO,154,39.5,Consumer Defensive
2015-07-01,MS,143,39.36000061035156,Financial Services
2015-07-01,MSFT,203,44.45000076293945,Technology
2015-07-01,NVDA,179,0.5099999904632568,Technology
2015-07-01,PFE,134,31.963947296142578,Healthcare
2015-07-01,PG,137,79.72000122070312,Consumer Defensive
2015-07-01,QQQ,195,107.91999816894531,Other
2015-07-01,SPY,209,207.5,Other
2015-07-01,UNH,129,123.37999725341797,Healthcare
2015-07-01,VUG,199,107.83999633789062,Other
2015-07-01,WMT,57,23.959999084472656,Consumer Defensive
2015-07-01,XLF,162,20.10560417175293,Other
2015-07-01,XLV,96,75.19000244140625,Other
2015-08-01,AAPL,232,30.325000762939453,Technology
2015-08-01,ABBV,191,70.01000213623047,Healthcare
2015-08-01,BAC,131,17.8799991607666,Financial Services
2015-08-01,COST,61,145.3000030517578,Consumer Defensive
2015-08-01,EURUSD=X,196,1.0939244031906128,Other
2015-08-01,META,97,94.01000213623047,Communication Services
2015-08-01,GBPUSD=X,86,1.5604275465011597,Other
2015-08-01,GOOGL,54,32.875,Communication Services
2015-08-01,GS,148,205.07000732421875,Financial Services
2015-08-01,INTC,221,28.950000762939453,Technology
2015-08-01,JNJ,144,100.20999908447266,Healthcare
2015-08-01,JPM,223,68.52999877929688,Financial Services
2015-08-01,JPYUSD=X,204,0.008059901185333729,Other
2015-08-01,KO,154,41.08000183105469,Consumer Defensive
2015-08-01,MS,143,38.84000015258789,Financial Services
2015-08-01,MSFT,203,46.70000076293945,Technology
2015-08-01,NVDA,179,0.4987500011920929,Technology
2015-08-01,PFE,134,34.2125244140625,Healthcare
2015-08-01,PG,137,76.69999694824219,Consumer Defensive
2015-08-01,QQQ,195,111.94999694824219,Other
2015-08-01,SPY,209,210.5,Other
2015-08-01,UNH,191,121.4000015258789,Healthcare
2015-08-01,VUG,199,110.55000305175781,Other
2015-08-01,WMT,57,23.99333381652832,Consumer Defensive
2015-08-01,XLF,162,20.479284286499023,Other
2015-08-01,XLV,96,76.58999633789062,Other
2015-09-01,AAPL,232,26.93000030517578,Technology
